"reportingdistrictcode","reportingdistrictname","category","studentgroup","studentcount_current","attrate_ytd","studentcount_202021","attrate_202021","studentcount_201920","attrate_201920","reportingperiod","date_update"
"0570011","Greenwich School District","Race/Ethnicity","Black or African American","186","0.9394","202","0.9574","221","0.9989","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0570011","Greenwich School District","Race/Ethnicity","Hispanic/Latino of any race","1913","0.9289","1924","0.9507","1973","0.9991","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0570011","Greenwich School District","Race/Ethnicity","White","5114","0.9449","5263","0.9598","5434","0.9998","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0570011","Greenwich School District","High Needs","Students Without High Needs","6000","0.9475","5866","0.965","5849","0.9998","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0570011","Greenwich School District","High Needs","Students With High Needs","2328","0.9285","2636","0.9479","3003","0.9994","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0580011","Griswold School District",,"All Students","1637","0.9251","1653","0.943","1683","0.946","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0580011","Griswold School District","Students With Disabilities","Students With Disabilities","314","0.8935","300","0.8988","295","0.913","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0580011","Griswold School District","Free/Reduced Lunch","Free Meal Eligible","621","0.9045","634","0.9134","678","0.9305","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0580011","Griswold School District","Free/Reduced Lunch","Reduced Price Meal Eligible","153","0.9204","170","0.9465","142","0.9411","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0580011","Griswold School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","774","0.9076","804","0.9204","820","0.9324","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0580011","Griswold School District","English Learners","English Learners","24","0.8659","26","0.9458","22","0.9481","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0580011","Griswold School District","Race/Ethnicity","All other races","165","0.9161","166","0.9412","178","0.9373","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0580011","Griswold School District","Race/Ethnicity","Black or African American","40","0.9161","37","0.9192","42","0.9438","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0580011","Griswold School District","Race/Ethnicity","Hispanic/Latino of any race","204","0.9142","174","0.9411","159","0.9408","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0580011","Griswold School District","Race/Ethnicity","White","1228","0.9283","1276","0.9442","1304","0.9479","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0580011","Griswold School District","High Needs","Students Without High Needs","705","0.9465","692","0.9713","752","0.9622","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0580011","Griswold School District","High Needs","Students With High Needs","899","0.9101","912","0.9217","931","0.9329","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0590011","Groton School District",,"All Students","3870","0.9156","3799","0.8721","4009","0.9445","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0590011","Groton School District","Students With Disabilities","Students With Disabilities","664","0.8937","658","0.8299","713","0.9239","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0590011","Groton School District","Free/Reduced Lunch","Free Meal Eligible","1330","0.8931","1535","0.8145","1521","0.9304","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0590011","Groton School District","Free/Reduced Lunch","Reduced Price Meal Eligible","428","0.9218","465","0.8722","411","0.9425","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0590011","Groton School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","1758","0.9002","2000","0.8279","1932","0.933","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0590011","Groton School District","English Learners","English Learners","159","0.9136","137","0.8395","168","0.9326","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0590011","Groton School District","Race/Ethnicity","All other races","752","0.9156","709","0.8766","691","0.9451","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0590011","Groton School District","Race/Ethnicity","Black or African American","276","0.9067","286","0.8266","322","0.9432","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0590011","Groton School District","Race/Ethnicity","Hispanic/Latino of any race","945","0.9019","894","0.8202","906","0.9357","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0590011","Groton School District","Race/Ethnicity","White","1897","0.9238","1910","0.9012","2090","0.9483","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0590011","Groton School District","High Needs","Students Without High Needs","1650","0.934","1458","0.9272","1773","0.9571","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0590011","Groton School District","High Needs","Students With High Needs","2071","0.9024","2223","0.8368","2236","0.9343","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0600011","Guilford School District",,"All Students","3108","0.9363","3099","0.972","3232","0.9576","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0600011","Guilford School District","Students With Disabilities","Students With Disabilities","381","0.9153","365","0.9524","383","0.945","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0600011","Guilford School District","Free/Reduced Lunch","Free Meal Eligible","261","0.9109","295","0.9535","330","0.9425","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0600011","Guilford School District","Free/Reduced Lunch","Reduced Price Meal Eligible","109","0.9154","99","0.9571","96","0.9513","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0600011","Guilford School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","370","0.9122","394","0.9544","426","0.9445","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0600011","Guilford School District","English Learners","English Learners","45","0.9482","57","0.9761","69","0.9554","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0600011","Guilford School District","Race/Ethnicity","All other races","321","0.9465","294","0.9784","281","0.9632","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0600011","Guilford School District","Race/Ethnicity","Black or African American","38","0.9238","39","0.976","34","0.9531","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0600011","Guilford School District","Race/Ethnicity","Hispanic/Latino of any race","258","0.9241","250","0.9676","245","0.9488","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0600011","Guilford School District","Race/Ethnicity","White","2491","0.9364","2516","0.9717","2672","0.9578","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0600011","Guilford School District","High Needs","Students Without High Needs","2391","0.9417","2335","0.977","2466","0.9607","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0600011","Guilford School District","High Needs","Students With High Needs","696","0.9175","721","0.9575","766","0.9472","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0620011","Hamden School District",,"All Students","5399","0.902","5273","0.8943","5339","0.9429","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0620011","Hamden School District","Students With Disabilities","Students With Disabilities","903","0.8749","927","0.8413","967","0.9221","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0620011","Hamden School District","Free/Reduced Lunch","Free Meal Eligible","1738","0.8774","1827","0.8473","2185","0.9285","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0620011","Hamden School District","Free/Reduced Lunch","Reduced Price Meal Eligible","391","0.9146","458","0.9006","364","0.9516","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0620011","Hamden School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","2129","0.8842","2285","0.8581","2549","0.9319","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0620011","Hamden School District","English Learners","English Learners","345","0.9144","308","0.8925","368","0.9409","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0620011","Hamden School District","Race/Ethnicity","All other races","688","0.9235","680","0.9262","699","0.9539","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0620011","Hamden School District","Race/Ethnicity","Black or African American","1716","0.8923","1638","0.8654","1650","0.9418","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0620011","Hamden School District","Race/Ethnicity","Hispanic/Latino of any race","1363","0.8871","1235","0.8749","1174","0.9325","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0620011","Hamden School District","Race/Ethnicity","White","1632","0.9152","1720","0.9225","1816","0.9462","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0620011","Hamden School District","High Needs","Students Without High Needs","2533","0.9209","2393","0.931","2293","0.9558","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0620011","Hamden School District","High Needs","Students With High Needs","2695","0.8854","2763","0.8638","3046","0.9329","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0630011","Hampton School District",,"All Students","63","0.9172","58","0.9452","76","0.9535","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0630011","Hampton School District","Race/Ethnicity","White","56","0.9158","53","0.9422","68","0.9511","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0630011","Hampton School District","High Needs","Students Without High Needs","32","0.9289","29","0.9634","34","0.9637","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0630011","Hampton School District","High Needs","Students With High Needs","29","0.9038","28","0.9268","42","0.9449","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0640011","Hartford School District",,"All Students","15731","0.8594","15785","0.8325","17344","0.9082","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0640011","Hartford School District","Homelessness","Students Experiencing Homelessness","106","0.8097","28","0.7847","437","0.8454","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0640011","Hartford School District","Students With Disabilities","Students With Disabilities","3108","0.817","3160","0.7792","3614","0.8701","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0640011","Hartford School District","Free/Reduced Lunch","Free Meal Eligible","11573","0.845","12281","0.8122","14146","0.8994","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0640011","Hartford School District","Free/Reduced Lunch","Reduced Price Meal Eligible","414","0.9142","393","0.9119","415","0.9463","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0640011","Hartford School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","11987","0.8473","12674","0.8153","14561","0.9008","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0640011","Hartford School District","English Learners","English Learners","3520","0.8511","3572","0.8088","4054","0.9003","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0640011","Hartford School District","Race/Ethnicity","All other races","981","0.8999","1031","0.9126","1023","0.9309","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0640011","Hartford School District","Race/Ethnicity","Black or African American","4696","0.8724","4486","0.8374","5204","0.9152","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0640011","Hartford School District","Race/Ethnicity","Hispanic/Latino of any race","8921","0.8419","9067","0.809","9632","0.8967","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0640011","Hartford School District","Race/Ethnicity","White","1133","0.9075","1201","0.921","1485","0.9407","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0640011","Hartford School District","High Needs","Students Without High Needs","2205","0.9179","1972","0.9384","2075","0.953","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0640011","Hartford School District","High Needs","Students With High Needs","12877","0.8498","13371","0.8185","15269","0.902","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0650011","Hartland School District",,"All Students","131","0.9381","144","0.9081","148","0.9545","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0650011","Hartland School District","Students With Disabilities","Students With Disabilities","29","0.9273","32","0.8798","31","0.9533","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0650011","Hartland School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","26","0.9285","26","0.8534","30","0.9489","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0650011","Hartland School District","Race/Ethnicity","White","109","0.9386","122","0.9096","128","0.9542","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0650011","Hartland School District","High Needs","Students Without High Needs","87","0.9441","93","0.9244","96","0.9587","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0650011","Hartland School District","High Needs","Students With High Needs","44","0.9267","46","0.8733","52","0.9469","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0670011","Hebron School District",,"All Students","634","0.9562","599","0.9707","593","0.9585","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0670011","Hebron School District","Students With Disabilities","Students With Disabilities","65","0.9532","67","0.9662","71","0.9494","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0670011","Hebron School District","Free/Reduced Lunch","Free Meal Eligible","75","0.9493","74","0.9623",,,"2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0670011","Hebron School District","Free/Reduced Lunch","Reduced Price Meal Eligible","28","0.9418","21","0.9595",,,"2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0670011","Hebron School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","103","0.9472","95","0.9617","91","0.9488","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0670011","Hebron School District","Race/Ethnicity","Hispanic/Latino of any race","35","0.9391","30","0.9461","23","0.9554","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0670011","Hebron School District","Race/Ethnicity","White","562","0.9572","543","0.9719","544","0.9583","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0670011","Hebron School District","High Needs","Students Without High Needs","476","0.959","454","0.9729","452","0.9606","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0670011","Hebron School District","High Needs","Students With High Needs","149","0.9498","142","0.9645","141","0.9519","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0680011","Kent School District",,"All Students","195","0.9439","189","0.9665","190","0.9565","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0680011","Kent School District","Students With Disabilities","Students With Disabilities","21","0.9198",,,,,"2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0680011","Kent School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","43","0.9182","40","0.9572","45","0.9479","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0680011","Kent School District","Race/Ethnicity","White","166","0.9454","155","0.9671","159","0.9552","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0680011","Kent School District","High Needs","Students Without High Needs","139","0.9522","136","0.9705","133","0.9593","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0680011","Kent School District","High Needs","Students With High Needs","55","0.9225","51","0.9553","57","0.9498","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0690011","Killingly School District",,"All Students","2248","0.9087","2236","0.8966","2317","0.9378","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0690011","Killingly School District","Students With Disabilities","Students With Disabilities","391","0.8834","357","0.8592","383","0.9154","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0690011","Killingly School District","Free/Reduced Lunch","Free Meal Eligible","847","0.8807","841","0.8501","1031","0.9239","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0690011","Killingly School District","Free/Reduced Lunch","Reduced Price Meal Eligible","149","0.9127","157","0.8901","168","0.9388","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0690011","Killingly School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","996","0.8854","998","0.8565","1199","0.926","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0690011","Killingly School District","English Learners","English Learners","60","0.91","63","0.8847","59","0.9393","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0690011","Killingly School District","Race/Ethnicity","All other races","212","0.9063","212","0.8825","213","0.9411","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0690011","Killingly School District","Race/Ethnicity","Black or African American","35","0.9211","37","0.8824","51","0.9298","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0690011","Killingly School District","Race/Ethnicity","Hispanic/Latino of any race","259","0.886","222","0.8571","221","0.9245","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0690011","Killingly School District","Race/Ethnicity","White","1742","0.912","1765","0.9035","1832","0.9393","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0690011","Killingly School District","High Needs","Students Without High Needs","1026","0.9308","1025","0.9335","984","0.9528","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0690011","Killingly School District","High Needs","Students With High Needs","1163","0.8904","1155","0.8647","1333","0.9266","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0710011","Lebanon School District",,"All Students","885","0.938","898","0.9625","934","0.9534","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0710011","Lebanon School District","Students With Disabilities","Students With Disabilities","146","0.9217","153","0.9384","166","0.9419","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0710011","Lebanon School District","Free/Reduced Lunch","Free Meal Eligible","203","0.9222","210","0.9397","230","0.9409","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0710011","Lebanon School District","Free/Reduced Lunch","Reduced Price Meal Eligible","40","0.9246","42","0.9621","60","0.9537","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0710011","Lebanon School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","243","0.9226","252","0.9434","290","0.9436","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0710011","Lebanon School District","Race/Ethnicity","Hispanic/Latino of any race","64","0.9329","61","0.9549","52","0.9534","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0710011","Lebanon School District","Race/Ethnicity","White","777","0.94","787","0.9639","831","0.9531","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0710011","Lebanon School District","High Needs","Students Without High Needs","555","0.9458","543","0.972","553","0.9588","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0710011","Lebanon School District","High Needs","Students With High Needs","325","0.9249","343","0.9489","381","0.9455","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0720011","Ledyard School District",,"All Students","2363","0.9132","2305","0.8464","2341","0.9527","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0720011","Ledyard School District","Students With Disabilities","Students With Disabilities","385","0.8992","400","0.8283","445","0.9464","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0720011","Ledyard School District","Free/Reduced Lunch","Free Meal Eligible","368","0.888","470","0.8068","527","0.9404","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0720011","Ledyard School District","Free/Reduced Lunch","Reduced Price Meal Eligible","115","0.9003","162","0.8261","177","0.9507","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0720011","Ledyard School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","483","0.8909","632","0.8118","704","0.9431","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0720011","Ledyard School District","English Learners","English Learners","34","0.9205","30","0.8752","37","0.9543","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0720011","Ledyard School District","Race/Ethnicity","All other races","297","0.9032","282","0.8239","279","0.9486","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0720011","Ledyard School District","Race/Ethnicity","Black or African American","106","0.8926","109","0.8414","125","0.9511","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0720011","Ledyard School District","Race/Ethnicity","Hispanic/Latino of any race","273","0.8971","248","0.8389","260","0.95","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0720011","Ledyard School District","Race/Ethnicity","White","1687","0.9188","1666","0.8516","1677","0.9539","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0720011","Ledyard School District","High Needs","Students Without High Needs","1561","0.9219","1360","0.8638","1355","0.9585","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0720011","Ledyard School District","High Needs","Students With High Needs","761","0.8961","891","0.8196","986","0.9447","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0730011","Lisbon School District",,"All Students","382","0.9195","397","0.9483","387","0.9601","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0730011","Lisbon School District","Students With Disabilities","Students With Disabilities","61","0.9093","60","0.9359","60","0.946","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0730011","Lisbon School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","132","0.9126","155","0.9391","143","0.956","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0730011","Lisbon School District","Race/Ethnicity","Hispanic/Latino of any race","44","0.8956","53","0.9277","44","0.9467","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0730011","Lisbon School District","Race/Ethnicity","White","304","0.9221","304","0.951","302","0.962","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0730011","Lisbon School District","High Needs","Students Without High Needs","203","0.9275","205","0.9542","215","0.9648","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0730011","Lisbon School District","High Needs","Students With High Needs","168","0.9136","183","0.9418","172","0.954","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0740011","Litchfield School District",,"All Students","810","0.9321","805","0.9497","833","0.9586","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0740011","Litchfield School District","Students With Disabilities","Students With Disabilities","141","0.8999","133","0.9344","142","0.9363","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0740011","Litchfield School District","Free/Reduced Lunch","Free Meal Eligible","104","0.91","115","0.9344","142","0.9491","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0740011","Litchfield School District","Free/Reduced Lunch","Reduced Price Meal Eligible","28","0.9263","30","0.9476","46","0.9543","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0740011","Litchfield School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","132","0.9135","145","0.9372","188","0.9504","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0740011","Litchfield School District","Race/Ethnicity","Hispanic/Latino of any race","58","0.9112","50","0.9425","44","0.9482","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0740011","Litchfield School District","Race/Ethnicity","White","709","0.9338","716","0.9506","748","0.9589","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0740011","Litchfield School District","High Needs","Students Without High Needs","564","0.9397","545","0.954","547","0.9646","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0740011","Litchfield School District","High Needs","Students With High Needs","240","0.9139","248","0.9403","286","0.947","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0760011","Madison School District",,"All Students","2414","0.9587","2479","0.975","2584","0.9625","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0760011","Madison School District","Students With Disabilities","Students With Disabilities","339","0.9527","362","0.9674","380","0.9592","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0760011","Madison School District","Free/Reduced Lunch","Free Meal Eligible","66","0.9384","66","0.9536","66","0.9498","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0760011","Madison School District","Free/Reduced Lunch","Reduced Price Meal Eligible","23","0.9591","25","0.942","26","0.9586","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0760011","Madison School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","89","0.9437","91","0.9503","92","0.9523","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0760011","Madison School District","English Learners","English Learners","39","0.9566","34","0.9682","38","0.9583","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0760011","Madison School District","Race/Ethnicity","All other races","183","0.9698","187","0.9796","211","0.9668","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0760011","Madison School District","Race/Ethnicity","White","2058","0.9578","2130","0.9755","2230","0.962","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0760011","Madison School District","High Needs","Students Without High Needs","1982","0.9598","2004","0.9769","2120","0.9632","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0760011","Madison School District","High Needs","Students With High Needs","422","0.9536","444","0.9662","464","0.9593","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0770011","Manchester School District",,"All Students","6036","0.8902","5459","0.8884","6023","0.9325","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0770011","Manchester School District","Students With Disabilities","Students With Disabilities","958","0.8459","882","0.8329","959","0.9103","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0770011","Manchester School District","Free/Reduced Lunch","Free Meal Eligible","2922","0.8623","2747","0.8465","3311","0.9186","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0770011","Manchester School District","Free/Reduced Lunch","Reduced Price Meal Eligible","500","0.9046","415","0.8963","423","0.9469","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0770011","Manchester School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","3422","0.8684","3162","0.8532","3734","0.9219","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0770011","Manchester School District","English Learners","English Learners","463","0.8908","405","0.878","455","0.9195","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0770011","Manchester School District","Race/Ethnicity","All other races","661","0.9039","605","0.9185","680","0.9348","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0770011","Manchester School District","Race/Ethnicity","Black or African American","1486","0.8939","1359","0.8762","1514","0.9378","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0770011","Manchester School District","Race/Ethnicity","Hispanic/Latino of any race","2004","0.8664","1721","0.8558","1777","0.9196","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0770011","Manchester School District","Race/Ethnicity","White","1885","0.9074","1774","0.9181","2052","0.9389","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0770011","Manchester School District","High Needs","Students Without High Needs","2055","0.9273","1789","0.945","1942","0.9509","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0770011","Manchester School District","High Needs","Students With High Needs","3827","0.8716","3518","0.8596","4081","0.9236","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0780011","Mansfield School District",,"All Students","950","0.9381","978","0.9576","1075","0.9567","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0780011","Mansfield School District","Students With Disabilities","Students With Disabilities","133","0.913","118","0.938","138","0.947","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0780011","Mansfield School District","Free/Reduced Lunch","Free Meal Eligible","234","0.9079","244","0.9289","302","0.9461","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0780011","Mansfield School District","Free/Reduced Lunch","Reduced Price Meal Eligible","30","0.953","55","0.9536","42","0.959","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0780011","Mansfield School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","264","0.9131","299","0.9334","344","0.9477","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0780011","Mansfield School District","English Learners","English Learners","46","0.9429","37","0.9584","63","0.9664","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0780011","Mansfield School District","Race/Ethnicity","All other races","152","0.9598","165","0.9754","196","0.9652","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0780011","Mansfield School District","Race/Ethnicity","Black or African American","30","0.9372","33","0.9307","31","0.9431","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
